,mean,std,min,max,variance,missing_pct
latitude,25.72190383773711,4.648800345447074,12.9099161,31.62,21.611344651828833,0.0
longitude,78.30227833298194,4.285916892987107,72.87462,88.36917,18.369083613592256,0.0
elevation,0.0,0.0,0.0,0.0,0.0,0.0
pm25,68.83628688397488,61.42896071651522,0.0,487.2,3773.51721471117,0.0
no2,31.224893182925882,24.33152471293992,0.0,218.6,592.0230948564061,0.0
temp,24.388774980766822,6.935998905955707,1.7,45.2,48.10808082341875,0.0
humidity,68.71542053566637,21.777601472891106,6.0,100.0,474.2639259120689,0.0
wind_speed,9.117911008534163,4.997410787824728,0.0,48.1,24.974114582266964,0.0
wind_deg,201.31453849319234,105.47898860568051,1.0,360.0,11125.81703727728,0.0
wind_u,0.8831846305778477,6.099002897794402,-32.12954248040268,39.11701987023275,37.19783634730451,0.0
wind_v,-1.4074627659274304,8.255442561275709,-42.857413813460504,39.95222636631993,68.15233188252245,0.0
stagnation,0.44177490920151,0.25358815272669916,0.0,0.97,0.06430695120333971,0.0
upwind_fire_intensity,85.22239126545364,491.1809194275967,0.0,20251.04,241258.6956097392,0.0
upwind_fire_count,119.45780330273917,462.2308701092008,0.0,12630.0,213657.37728190885,0.0
hour_of_day,11.506199345177393,6.91680554145955,0.0,23.0,47.842198898365545,0.0
day_of_week,3.021156495446657,1.9873981587748617,0.0,6.0,3.9497514415017103,0.0
month,7.425858336464316,3.547667735337961,1.0,12.0,12.585946360357974,0.0
weekend,0.2850983128477627,0.45146327442684514,0.0,1.0,0.20381908815620886,0.0
hour_sin,-0.001115379172274341,0.7071189458876205,-1.0,1.0,0.5000172036332196,0.0
hour_cos,-0.0014339099929863088,0.707098608337447,-1.0,1.0,0.49998844191275427,0.0
dayofyear_sin,-0.17386210227767565,0.7111673758472739,-0.9999994220246925,0.9999855506507186,0.5057590364694977,0.0
dayofyear_cos,0.11966459277062762,0.6705981400148359,-0.9999791929590823,0.9999907524084426,0.4497018653913574,0.0
season_winter,0.24920830873275723,0.4325565874791263,0.0,1.0,0.187105201371587,0.0
season_summer,0.21160073712271663,0.4084450483888039,0.0,1.0,0.1668273575533324,0.0
season_monsoon,0.28286189683860236,0.450391894697267,0.0,1.0,0.20285285880899404,0.0
season_post_monsoon,0.2563290573059238,0.4366075777678578,0.0,1.0,0.190626176964316,0.0
upwind_fire_transport_index,246.93916590131542,1613.5240623961672,0.0,86789.89583333334,2603459.8999314304,0.0
pm25_lag_1,68.81344461109556,61.40070589984725,0.0,487.2,3770.0466849995373,0.0
pm25_lag_2,68.78832861824358,61.37039016804889,0.0,487.2,3766.3247893785524,0.0
pm25_lag_3,68.76429012392346,61.34181334512997,0.0,487.2,3762.8180644687654,0.0
pm25_lag_24,68.40690052099217,61.39584325361813,0.0,487.2,3769.4495688228467,0.0
no2_lag_1,31.21683228768726,24.315751537334812,0.0,218.6,591.2557728254002,0.0
no2_lag_2,31.20893178368776,24.29940182639313,0.0,218.6,590.4609291205177,0.0
no2_lag_3,31.20104201631742,24.284585407170116,0.0,218.6,589.7410883981397,0.0
no2_lag_24,31.050977732657593,24.132396076693137,0.0,218.6,582.3725404023943,0.0
pm25_roll_mean_6,68.7772608108818,59.38134645347145,0.0,460.59444444444443,3526.1443066272063,0.0
pm25_roll_std_6,8.752329168598516,12.732257955893296,0.0,187.37741251875107,162.1103926554081,0.0
pm25_roll_mean_12,68.7084235376652,57.640978607966595,0.0,451.42083333333335,3322.4824148840626,0.0
pm25_roll_std_12,13.11249829159008,16.20773886324179,0.0,172.40438619871452,262.6907990590382,0.0
pm25_roll_mean_24,68.59813617724498,55.76696857349907,0.0,434.45411392405066,3109.954783877633,0.0
pm25_roll_std_24,17.580536537420596,18.393043208595895,0.0,154.11053078713866,338.3040384732756,0.0
no2_roll_mean_6,31.20558858680218,23.275055560434456,0.0,183.24666666666667,541.7282113413108,0.0
no2_roll_std_6,3.7556201378220795,5.8616161646832055,0.0,84.300428363219,34.35854406207545,0.0
no2_roll_mean_12,31.18545559076939,22.328985841409136,0.0,166.6175,498.58360870584966,0.0
no2_roll_std_12,5.656694852121631,7.617174407573606,0.0,75.0308428350849,58.02134595539432,0.0
no2_roll_mean_24,31.14306163292441,21.30732016477954,0.0,149.79041666666666,454.0018926044208,0.0
no2_roll_std_24,7.547982453896082,8.700967602333645,0.0,57.67950961123938,75.7068372168597,0.0
